,trustee,trial,inv,mult,ret,exp,IM
0,4,0,2,2,0,4,4
1,4,1,5,2,3,10,10
2,4,2,10,6,25,20,60
3,4,3,6,6,14,12,36
4,4,4,6,4,9,12,24
5,4,5,4,4,2,8,16
6,4,6,9,4,13,18,36
7,4,7,10,2,10,20,20
8,4,8,9,2,7,18,18
9,4,9,3,6,6,6,18
10,4,10,5,6,10,10,30
11,4,11,2,4,1,4,8
12,4,12,3,6,1,6,18
13,4,13,5,2,2,10,10
14,4,14,6,6,11,12,36
15,4,15,1,6,1,2,6
16,4,16,9,6,13,18,54
17,4,17,2,2,0,4,4
18,4,18,10,6,31,20,60
19,4,19,7,4,10,14,28
20,4,20,7,2,5,14,14
21,4,21,4,6,4,8,24
22,4,22,3,2,1,6,6
23,4,23,5,6,10,10,30
24,4,24,8,6,18,16,48
25,4,25,8,2,5,16,16
26,4,26,5,6,12,10,30
27,4,27,5,2,5,10,10
28,4,28,5,4,6,10,20
29,4,29,9,4,19,18,36
30,4,30,3,2,0,6,6
31,4,31,1,4,0,2,4
32,4,32,3,4,3,6,12
33,4,33,2,4,1,4,8
34,4,34,10,4,20,20,40
35,4,35,6,2,4,12,12
36,4,36,4,2,1,8,8
37,4,37,5,4,7,10,20
38,4,38,4,6,4,8,24
39,4,39,10,2,10,20,20
40,4,40,6,2,4,12,12
41,4,41,5,4,5,10,20
42,4,42,5,6,10,10,30
43,4,43,10,4,16,20,40
44,4,44,4,6,4,8,24
45,4,45,6,4,8,12,24
46,4,46,6,2,4,12,12
47,4,47,1,4,0,2,4
48,4,48,4,4,4,8,16
49,4,49,4,2,3,8,8
50,4,50,3,4,2,6,12
51,4,51,2,6,1,4,12
52,4,52,2,4,0,4,8
53,4,53,7,6,18,14,42
54,4,54,1,2,0,2,2
55,4,55,10,6,26,20,60
56,4,56,5,2,2,10,10
