,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time,clust,ClustName
0,1,4,MP_ppSOE,0.06794498925645197,0.0017221311860401436,164.0,62.45411465287792,67.11558133345058,1094.875216960907,2,MO
1,2,4,MP_ppSOE,0.4965201395886645,0.0826323372300093,0.0,-inf,-inf,1588.7655129432678,0,GR
2,3,4,MP_ppSOE,0.029391536426029933,0.0015085084883912775,582.0,158.7160201658281,163.37748684640076,1523.3591558933258,3,IA
3,4,4,MP_ppSOE,0.1030661278036712,0.08485236668040957,289.0,105.51269443478368,110.17416111535636,1482.3176851272585,3,IA
4,5,4,MP_ppSOE,0.025692159730237585,0.06585578792937669,106.0,29.28563729075593,33.947103971328595,1641.756110906601,3,IA
5,6,4,MP_ppSOE,0.11403020863841945,0.0713511961404436,55.0,-20.57841178409337,-15.916945103520709,1451.8235800266266,3,IA
6,7,4,MP_ppSOE,0.052383546120310695,0.0017627674681122683,213.0,82.32247073215517,86.98393741272781,1549.6225879192352,2,MO
7,8,4,MP_ppSOE,0.10989931403253622,-0.0010451057853670884,87.0,14.273283155987196,18.934749836559853,1571.2960641384125,2,MO
8,9,4,MP_ppSOE,0.02806351572133274,0.060498546477873325,431.0,135.88848098612368,140.54994766669634,1760.9555699825287,3,IA
9,10,4,MP_ppSOE,0.2743221048041549,-0.06932913172002833,310.0,110.84376074665741,115.50522742723007,1626.1847360134125,2,MO
10,11,4,MP_ppSOE,0.3704123365892169,-0.0979253908173512,298.0,107.84337111264958,112.50483779322224,1580.3221950531006,2,MO
11,12,4,MP_ppSOE,0.042926672656186216,-0.0017747552750465856,82.0,9.774928930322076,14.436395610894735,1565.342736005783,2,MO
12,13,4,MP_ppSOE,0.0697602409345679,0.09785972552007163,292.0,106.29755511062824,110.95902179120093,1716.3728458881378,3,IA
13,14,4,MP_ppSOE,0.08930144528551555,0.02170984854451601,198.0,76.77256047102351,81.43402715159617,1547.7900729179382,3,IA
14,15,4,MP_ppSOE,0.04685598717893316,0.04049604094646486,254.0,95.70167043164759,100.36313711222029,1724.5153269767761,3,IA
15,16,4,MP_ppSOE,0.2769033229185913,-0.08763381346743285,245.0,92.95989013963808,97.62135682021076,1598.66694688797,2,MO
